epoch,ax,ay,az,gx,gy,gz,load,offset,error,force,frame,LF,RF,LH,RH,
1670359906485.00,-0.378645677,-1.14691019,0.005055049,-132.48,-93.55,111.21,-5964,14228,0,-16.0041047,0,0,0,0,1,
1670359906492.00,-0.068308306,-1.316724447,0.24440223714633796,-215.35,-26.24,117.02,-5964,14228,0,-16.0041047,2,0,0,0,1,
1670359906502.00,-0.047963435,-0.756504866,0.5537211248123479,-239.98,-5.39,105.67,-5371,14228,0,-14.43633586,4,0,0,0,1,
1670359906509.00,-0.067612507,-0.456250947,0.3130109692097355,-232.57,-20.88,105.36,-5371,14228,0,-14.43633586,6,0,0,0,1,
1670359906518.00,0.022743066344220186,-0.225961869,-0.137729108,-229.11,-93.96,116.02,-5580,14228,0,-14.98888846,8,0,0,1,1,
1670359906525.00,0.083101884,-0.055636608,-0.368500069,-242.79,-115.96,117.11,-5580,14228,0,-14.98888846,10,0,0,1,1,
1670359906535.00,0.013462541925366042,0.9547259387896967,-0.989302842,-275.69,-147.2,96.43,-5227,14228,0,-14.05562977,12,0,0,1,0,
1670359906542.00,0.03382362,1.3151267882635982,-1.140138163,-286.2,-152.69,93.05,-5227,14228,0,-14.05562977,14,0,0,1,0,
1670359906552.00,0.20418368059293396,1.985566645,-1.331006437,-265.44,-103.2,93.57,-3472,14228,0,-9.415774287,16,0,0,1,0,
1670359906559.00,0.3845412450996585,2.7060456583197827,-1.091907627,-184.61,-20.06,90.9,-3472,14228,0,-9.415774287,18,0,0,1,0,
1670359906568.00,0.16489475983230314,3.1165631759657075,-0.062841249,-70.67,15.85,90.36,-3449,14228,0,-9.354967064,20,0,0,1,0,
1670359906575.00,-0.384757415,2.397117540232415,0.16619350662261584,35.3,-17.69,125.21,-3449,14228,0,-9.354967064,22,0,0,1,0,
1670359906585.00,-0.73441693,1.107706040446684,-0.594802399,143.85,-52.41,134.02,-2746,14228,0,-7.496381077,24,0,0,1,0,
1670359906592.00,-1.074085306,0.41832510782765325,-0.875827917,214.24,-71.31,74.3,-2746,14228,0,-7.496381077,26,0,0,1,0,
1670359906602.00,-1.503763772,-0.011029351,-0.996881809,222.2,-46.74,36.72,-1995,14228,0,-5.510893059,28,0,0,1,0,
1670359906609.00,-1.683453125,-0.170361655,-1.097962528,217.77,-14.81,28.57,-1995,14228,0,-5.510893059,30,0,0,0,0,
1670359906618.00,-1.333153607,-0.179676172,-1.199068131,179.87,80.96,23.39,448,14228,0,0.94789153,32,0,0,0,0,
1670359906625.00,-1.16286487,-0.258977229,-1.280196242,170.61,133.59,24.34,448,14228,0,0.94789153,34,1,0,0,0,
1670359906635.00,-1.092586021,-0.298269073,-2.021343992,173.52,258.2,21.06,-1143,14228,0,-3.258382019,36,1,0,0,0,
1670359906642.00,-0.842315682,-0.197555858,-2.082507918,147.11,286.24,47.69,-1143,14228,0,-3.258382019,38,1,0,0,0,
1670359906652.00,-0.022052084,-0.336841634,-1.123683863,104,253.69,74.64,-488,14228,0,-1.526698063,40,1,0,0,0,
1670359906659.00,1.148206785264673,-0.376130342,1.315132955263559,125.57,196.6,7.24,-488,14228,0,-1.526698063,42,1,0,0,0,
1670359906668.00,1.0984629064171498,-0.71542579,3.653947522957257,228.28,3.25,-103.42,5801,14228,0,15.100111713128005,44,1,0,0,0,
1670359906675.00,0.6487179878339057,-1.754731577,2.5127643662976142,286.14,-111.96,-110.34,5801,14228,0,15.100111713128005,46,1,0,0,0,
1670359906685.00,0.3889733846019413,-2.094050921,0.8215870902998279,250.02,18.21,-101.18,6770,14228,0,17.66194645201352,48,1,0,0,0,
1670359906692.00,-0.930769799,-1.223386458,0.6404184286491346,216.12,81.37,-38.01,6770,14228,0,17.66194645201352,50,1,0,0,0,
1670359906702.00,-1.47051048,-0.552740179,1.1392605579401611,125.52,-27.7,27.16,-797,14228,0,-2.343629884,52,1,1,0,0,
1670359906709.00,-0.960247319,-0.232113582,1.148115271988459,95.28,-55.36,58.01,-797,14228,0,-2.343629884,54,0,1,0,0,
1670359906718.00,-0.129978577,0.098492114,-0.823015984,140.42,163.59,46.8,-2924,14228,0,-7.966976106,56,0,1,0,0,
1670359906725.00,0.020297814108242024,-0.400924188,-0.424131975,130.61,259.7,54.14,-2924,14228,0,-7.966976106,58,0,1,0,0,
1670359906735.00,2.880583998541463,-1.990363476,1.8747685125880102,64.56,207.87,57.09,-1211,14228,0,-3.438159896,60,0,1,0,0,
1670359906742.00,3.5308817795621446,-1.529826442,-0.326313372,179.88,36.02,-13.88,-1211,14228,0,-3.438159896,62,0,1,0,0,
1670359906752.00,3.2611920968882133,-2.069313241,0.8326233143788541,161.74,-38.34,-15.14,-2030,14228,0,-5.60342579,64,0,1,0,0,
1670359906759.00,1.6415147076334438,-2.148823328,1.4715792695114929,-28.98,-51.69,-136.66,-2030,14228,0,-5.60342579,66,0,1,0,0,
1670359906768.00,0.21184828769752675,-1.218355405,1.470554867333277,-78.12,-52.33,-248.93,-2731,14228,0,-7.456724192,68,0,1,0,0,
1670359906775.00,-0.437809156,-0.49790747,0.8595500188587534,-72.15,-118.48,-254.29,-2731,14228,0,-7.456724192,70,0,1,0,0,
1670359906785.00,-0.647459835,0.3425229670701111,0.2685641549934805,-70.17,-120.08,-184.95,-3972,14228,0,-10.73767044,72,0,0,0,0,
1670359906792.00,-0.377105881,0.912938588,-0.352403623,-70.06,-85.24,-150.5,-3972,14228,0,-10.73767044,74,0,0,0,0,
1670359906802.00,-0.196749249,1.2533419821609064,-0.693354326,-108.73,52.48,-79.46,-4855,14228,0,-13.07213904,76,0,0,0,0,
1670359906809.00,-0.046391743,1.1737354260000712,-0.584288873,-125.33,91.52,-57.15,-4855,14228,0,-13.07213904,78,0,0,0,0,
1670359906818.00,-0.046035074,1.0141207662977045,-0.705207978,-137.32,-16.2,-47.08,-4928,14228,0,-13.26513588,80,0,0,0,0,
1670359906825.00,-0.135680914,0.9944994004074004,-0.7261121,-115.25,-83.23,-56.39,-4928,14228,0,-13.26513588,82,0,0,0,0,
1670359906835.00,-0.725330882,1.0148723010236644,-0.517001432,-110.81,-197.79,-45.42,-3945,14228,0,-10.66628804,84,0,0,0,0,
1670359906842.00,-0.774986484,0.5152400474575098,0.032124079,-126.68,-252.21,-7.63,-3945,14228,0,-10.66628804,86,0,0,0,0,
1670359906852.00,-0.954648997,0.36560288210581837,0.10126464443333062,-131,-211.74,-12.32,-2682,14228,0,-7.327178369,88,0,0,1,0,
1670359906859.00,-0.914319392,0.3659607985991359,0.4404205230546459,-143.79,-128.74,5.08,-2682,14228,0,-7.327178369,90,0,0,1,0,
1670359906868.00,-0.663998293,0.10631361997468737,0.45959191074123706,-142.6,-97.05,16.84,-3779,14228,0,-10.22741852,92,0,0,1,0,
1670359906875.00,-0.403685993,-0.343338937,0.2587788747111368,-154.04,-81.51,22.94,-3779,14228,0,-10.22741852,94,0,0,1,0,
1670359906885.00,-0.053382535,-0.692997165,0.2779813341867795,-199.87,-69.67,19.15,-3488,14228,0,-9.458074963,96,0,0,1,0,
1670359906892.00,0.006912198,-0.712661239,0.34719907643292053,-228.84,-68.85,13.1,-3488,14228,0,-9.458074963,98,0,0,1,1,
