epoch,ax,ay,az,gx,gy,gz,load,offset,error,force,frame,RF,LF,RH,LH
1670699045681.00,-0.191252629,0.6864988698585162,-1.379249456,-30.02,-101.7,85.91,88294,31936,0,230.8336146627996,0,0,0,1,0
1670699045690.00,-0.471513244,0.2767284748496371,-1.249218126,-51.33,-17.19,53.33,87885,31936,0,229.76162751852107,1,0,0,1,0
1670699045697.00,-0.831769256,0.036954563,-0.769185871,-100.56,49.62,38.13,87885,31936,0,229.76162751852107,2,0,0,1,0
1670699045706.00,-0.992020325,-0.122821321,0.4108460891230092,-208.39,180.31,31.53,88048,31936,0,230.1888497789548,3,0,0,1,0
1670699045713.00,-0.552265821,-0.032597667,0.8808767435471895,-224.52,191.84,35.53,88048,31936,0,230.1888497789548,4,0,0,1,1
1670699045722.00,-0.152504814,0.037627040669478945,0.9809050172626042,-217.57,209.47,9.47,87613,31936,0,229.04871675264388,5,0,0,1,1
1670699045729.00,-0.052736152,-0.172145661,0.7909295635484214,-224.19,214.88,-0.61,87613,31936,0,229.04871675264388,5,0,0,1,1
1670699045738.00,0.34704141446659537,-0.471914208,0.7209486938677103,-259.94,206.43,16.41,87418,31936,0,228.53762263740103,7,0,0,1,1
1670699045745.00,0.7568291180393553,-0.111676963,0.6109603943196846,-279.87,219.24,30.56,87418,31936,0,228.53762263740103,7,0,0,1,1
1670699045754.00,0.9766280492802364,0.17856780491975505,0.030962378,-274.12,217.43,39.37,87625,31936,0,229.0801686981973,8,0,0,0,1
1670699045761.00,1.2164390241985072,0.6088218620960218,-0.449047817,-273.96,203.68,44.11,87625,31936,0,229.0801686981973,9,0,0,0,1
1670699045770.00,1.3062624745437044,1.309086877162053,-0.769072672,-269.91,66.45,35.78,89488,31936,0,233.9630832453633,10,0,0,0,1
1670699045777.00,1.1360983750504072,1.7193642393030013,-0.809114523,-260.42,5.81,20.99,89488,31936,0,233.9630832453633,11,0,0,0,1
1670699045786.00,0.3259462377720418,2.0396548541915873,-0.889175443,-241.5,-78.8,-6.41,92101,31936,0,240.81174438961716,12,0,0,0,1
1670699045793.00,-0.264194782,2.6999589535699378,-0.389257199,-206.58,-41.24,-21.87,92101,31936,0,240.81174438961716,13,0,0,0,1
1670699045802.00,0.4856742911642489,2.480275928521152,0.45063870416722407,-124.36,26.15,-33.89,95628,31936,0,250.0559953868552,14,0,0,0,1
1670699045809.00,1.0455523359443906,1.3106042395569446,0.5705108681166539,-5.84,-13.15,-67.52,95628,31936,0,250.0559953868552,15,0,0,0,0
1670699045818.00,0.7954380530134959,0.2409415190029895,0.020357832,109.79,-133.71,-87.28,95831,31936,0,250.58805746580032,16,0,0,0,0
1670699045825.00,0.7653298461126918,-0.188715131,-1.20982196,141.39,-213.54,-92.43,95831,31936,0,250.58805746580032,17,1,0,0,0
1670699045834.00,0.4552257958084661,0.1516311777578502,-2.360029951,171.76,-286.71,-78.71,98684,31936,0,258.0657575211222,18,1,0,0,0
1670699045841.00,0.2151237119143844,0.35197728154373065,-2.420267127,154.93,-278.52,-74.18,98684,31936,0,258.0657575211222,19,1,0,0,0
1670699045850.00,-0.944978758,0.49231995905564196,-2.220533704,156.1,-192.38,-76.96,101851,31936,0,266.36645015175816,20,1,0,0,0
1670699045857.00,-0.875083947,0.092655875,-2.220828991,165.02,-121.85,-69.45,101851,31936,0,266.36645015175816,21,1,0,0,0
1670699045866.00,0.014806007854055753,-0.677018413,-2.711151376,144.43,-115.07,-56.1,102836,31936,0,268.9481306826001,22,1,0,0,0
1670699045873.00,1.1846891574920888,-1.046706321,-2.571498299,142.26,-169.43,-14.23,102836,31936,0,268.9481306826001,23,1,0,0,0
